category;shortname;fullname
147;SIMULASI STS (X AKL);SIMULASI STS (X AKL)
148;SIMULASI STS (X PM);SIMULASI STS (X PM)
150;SIMULASI STS (X MPLB);SIMULASI STS (X MPLB)
151;SIMULASI STS (X TJKT);SIMULASI STS (X TJKT)
149;SIMULASI STS (X DKV);SIMULASI STS (X DKV)
147;SIMULASI STS (XI AKL);SIMULASI STS (XI AKL)
148;SIMULASI STS (XI PM);SIMULASI STS (XI PM)
150;SIMULASI STS (XI MPLB);SIMULASI STS (XI MPLB)
151;SIMULASI STS (XI TJKJ);SIMULASI STS (XI TJKJ)
149;SIMULASI STS (XI DKV);SIMULASI STS (XI DKV)
147;SIMULASI STS (XII AKL);SIMULASI STS (XII AKL)
148;SIMULASI STS (XII PM);SIMULASI STS (XII PM)
150;SIMULASI STS (XII MPLB);SIMULASI STS (XII MPLB)
151;SIMULASI STS (XII TJKJ);SIMULASI STS (XII TJKJ)
