category;shortname;fullname
258;AGAMA ISLAM (XII AKL 1);AGAMA ISLAM (XII AKL 1)
258;AGAMA KRISTEN (XII AKL 1);AGAMA KRISTEN (XII AKL 1)
258;BAHASA INDONESIA (XII AKL 1);BAHASA INDONESIA (XII AKL 1)
258;PEND. PANCASILA DAN KEWARGANEGARAAN (XII AKL 1);PEND. PANCASILA DAN KEWARGANEGARAAN (XII AKL 1)
258;BAHASA INGGRIS (XII AKL 1);BAHASA INGGRIS (XII AKL 1)
258;MATEMATIKA (XII AKL 1);MATEMATIKA (XII AKL 1)
258;KOMPUTER AKUNTANSI (XII AKL 1);KOMPUTER AKUNTANSI (XII AKL 1)
258;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII AKL 1);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII AKL 1)
258;AKUNTANSI LEMBAGA (XII AKL 1);AKUNTANSI LEMBAGA (XII AKL 1)
258;AKUNTANSI PER. JASA DAGANG DAN MANUF (XII AKL 1);AKUNTANSI PER. JASA DAGANG DAN MANUF (XII AKL 1)
258;ADMINISTRASI PAJAK (XII AKL 1);ADMINISTRASI PAJAK (XII AKL 1)
258;AKUNTANSI KEUANGAN (XII AKL 1);AKUNTANSI KEUANGAN (XII AKL 1)
259;AGAMA ISLAM (XII AKL 2);AGAMA ISLAM (XII AKL 2)
259;AGAMA KRISTEN (XII AKL 2);AGAMA KRISTEN (XII AKL 2)
259;BAHASA INDONESIA (XII AKL 2);BAHASA INDONESIA (XII AKL 2)
259;PEND. PANCASILA DAN KEWARGANEGARAAN (XII AKL 2);PEND. PANCASILA DAN KEWARGANEGARAAN (XII AKL 2)
259;BAHASA INGGRIS (XII AKL 2);BAHASA INGGRIS (XII AKL 2)
259;MATEMATIKA (XII AKL 2);MATEMATIKA (XII AKL 2)
259;KOMPUTER AKUNTANSI (XII AKL 2);KOMPUTER AKUNTANSI (XII AKL 2)
259;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII AKL 2);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII AKL 2)
259;AKUNTANSI LEMBAGA (XII AKL 2);AKUNTANSI LEMBAGA (XII AKL 2)
259;AKUNTANSI PER. JASA DAGANG DAN MANUF (XII AKL 2);AKUNTANSI PER. JASA DAGANG DAN MANUF (XII AKL 2)
259;ADMINISTRASI PAJAK (XII AKL 2);ADMINISTRASI PAJAK (XII AKL 2)
259;AKUNTANSI KEUANGAN (XII AKL 2);AKUNTANSI KEUANGAN (XII AKL 2)
261;AGAMA ISLAM (XII MPLB 1);AGAMA ISLAM (XII MPLB 1)
261;AGAMA KRISTEN (XII MPLB 1);AGAMA KRISTEN (XII MPLB 1)
261;BAHASA INDONESIA (XII MPLB 1);BAHASA INDONESIA (XII MPLB 1)
261;PEND. PANCASILA DAN KEWARGANEGARAAN (XII MPLB 1);PEND. PANCASILA DAN KEWARGANEGARAAN (XII MPLB 1)
261;BAHASA INGGRIS (XII MPLB 1);BAHASA INGGRIS (XII MPLB 1)
261;MATEMATIKA (XII MPLB 1);MATEMATIKA (XII MPLB 1)
261;OTK SARANA DAN PRASARANA (XII MPLB 1);OTK SARANA DAN PRASARANA (XII MPLB 1)
261;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII MPLB 1);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII MPLB 1)
261;OTK KEUANGAN (XII MPLB 1);OTK KEUANGAN (XII MPLB 1)
261;OTK KEPEGAWAIAN (XII MPLB 1);OTK KEPEGAWAIAN (XII MPLB 1)
261;OTK HUMAS DAN KEPROTOKOLAN (XII MPLB 1);OTK HUMAS DAN KEPROTOKOLAN (XII MPLB 1)
262;AGAMA ISLAM (XII MPLB 2);AGAMA ISLAM (XII MPLB 2)
262;AGAMA KRISTEN (XII MPLB 2);AGAMA KRISTEN (XII MPLB 2)
262;BAHASA INDONESIA (XII MPLB 2);BAHASA INDONESIA (XII MPLB 2)
262;PEND. PANCASILA DAN KEWARGANEGARAAN (XII MPLB 2);PEND. PANCASILA DAN KEWARGANEGARAAN (XII MPLB 2)
262;BAHASA INGGRIS (XII MPLB 2);BAHASA INGGRIS (XII MPLB 2)
262;MATEMATIKA (XII MPLB 2);MATEMATIKA (XII MPLB 2)
262;OTK SARANA DAN PRASARANA (XII MPLB 2);OTK SARANA DAN PRASARANA (XII MPLB 2)
262;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII MPLB 2);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII MPLB 2)
262;OTK KEUANGAN (XII MPLB 2);OTK KEUANGAN (XII MPLB 2)
262;OTK KEPEGAWAIAN (XII MPLB 2);OTK KEPEGAWAIAN (XII MPLB 2)
262;OTK HUMAS DAN KEPROTOKOLAN (XII MPLB 2);OTK HUMAS DAN KEPROTOKOLAN (XII MPLB 2)
260;AGAMA ISLAM (XII PM);AGAMA ISLAM (XII PM)
260;AGAMA KRISTEN (XII PM);AGAMA KRISTEN (XII PM)
260;BAHASA INDONESIA (XII PM);BAHASA INDONESIA (XII PM)
260;PEND. PANCASILA DAN KEWARGANEGARAAN (XII PM);PEND. PANCASILA DAN KEWARGANEGARAAN (XII PM)
260;BAHASA INGGRIS (XII PM);BAHASA INGGRIS (XII PM)
260;MATEMATIKA (XII PM);MATEMATIKA (XII PM)
260;PENGELOLAAN BISNIS RITEL (XII PM);PENGELOLAAN BISNIS RITEL (XII PM)
260;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII PM);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII PM)
260;BISNIS ONLINE (XII PM);BISNIS ONLINE (XII PM)
260;PENATAAN PRODUK (XII PM);PENATAAN PRODUK (XII PM)
260;ADMINISTRASI TRANSAKSI (XII PM);ADMINISTRASI TRANSAKSI (XII PM)
263;AGAMA ISLAM (XII TJKT 1);AGAMA ISLAM (XII TJKT 1)
263;AGAMA KRISTEN (XII TJKT 1);AGAMA KRISTEN (XII TJKT 1)
