category;shortname;fullname
162;PENDIDIKAN AGAMA ISLAM (XII AKL 1);PENDIDIKAN AGAMA ISLAM (XII AKL 1)
162;PENDIDIKAN AGAMA KRISTEN (XII AKL 1);PENDIDIKAN AGAMA KRISTEN (XII AKL 1)
162;PKN (XII AKL 1);PKN (XII AKL 1)
162;BAHASA INDONESIA (XII AKL 1);BAHASA INDONESIA (XII AKL 1)
162;MATEMATIKA (XII AKL 1);MATEMATIKA (XII AKL 1)
162;BAHASA INGGRIS (XII AKL 1);BAHASA INGGRIS (XII AKL 1)
162;PRAKTIKUM AKL JASA, DGNG, DAN MNFKTR (XII AKL 1);PRAKTIKUM AKL JASA, DGNG, DAN MNFKTR (XII AKL 1)
162;PRAKTIKUM AK LEMBAGA (XII AKL 1);PRAKTIKUM AK LEMBAGA (XII AKL 1)
162;AKUNTANSI KEUANGAN (XII AKL 1);AKUNTANSI KEUANGAN (XII AKL 1)
162;KOMPUTER AKUNTANSI (XII AKL 1);KOMPUTER AKUNTANSI (XII AKL 1)
162;ADMINISTRASI PAJAK (XII AKL 1);ADMINISTRASI PAJAK (XII AKL 1)
162;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII AKL 1);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII AKL 1)
163;PENDIDIKAN AGAMA ISLAM (XII AKL 2);PENDIDIKAN AGAMA ISLAM (XII AKL 2)
163;PENDIDIKAN AGAMA KRISTEN (XII AKL 2);PENDIDIKAN AGAMA KRISTEN (XII AKL 2)
163;PKN (XII AKL 2);PKN (XII AKL 2)
163;BAHASA INDONESIA (XII AKL 2);BAHASA INDONESIA (XII AKL 2)
163;MATEMATIKA (XII AKL 2);MATEMATIKA (XII AKL 2)
163;BAHASA INGGRIS (XII AKL 2);BAHASA INGGRIS (XII AKL 2)
163;PRAKTIKUM AKL JASA, DGNG, DAN MNFKTR (XII AKL 2);PRAKTIKUM AKL JASA, DGNG, DAN MNFKTR (XII AKL 2)
163;PRAKTIKUM AK LEMBAGA (XII AKL 2);PRAKTIKUM AK LEMBAGA (XII AKL 2)
163;AKUNTANSI KEUANGAN (XII AKL 2);AKUNTANSI KEUANGAN (XII AKL 2)
163;KOMPUTER AKUNTANSI (XII AKL 2);KOMPUTER AKUNTANSI (XII AKL 2)
163;ADMINISTRASI PAJAK (XII AKL 2);ADMINISTRASI PAJAK (XII AKL 2)
163;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII AKL 2);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII AKL 2)
177;PENDIDIKAN AGAMA ISLAM  (XII MPLB 1);PENDIDIKAN AGAMA ISLAM  (XII MPLB 1)
177;PENDIDIKAN AGAMA KRISTEN (XII MPLB 1);PENDIDIKAN AGAMA KRISTEN (XII MPLB 1)
177;PKN (XII MPLB 1);PKN (XII MPLB 1)
177;BAHASA INDONESIA (XII MPLB 1);BAHASA INDONESIA (XII MPLB 1)
177;MATEMATIKA (XII MPLB 1);MATEMATIKA (XII MPLB 1)
177;BAHASA INGGRIS (XII MPLB 1);BAHASA INGGRIS (XII MPLB 1)
177;OTK  KEPEGAWAIAN (XII MPLB 1);OTK  KEPEGAWAIAN (XII MPLB 1)
177;OTK KEUANGAN (XII MPLB 1);OTK KEUANGAN (XII MPLB 1)
177;OTK  SARANA DAN PRASARANA (XII MPLB 1);OTK  SARANA DAN PRASARANA (XII MPLB 1)
177;OTK  HUMAS DAN KEPROTOKOLAN (XII MPLB 1);OTK  HUMAS DAN KEPROTOKOLAN (XII MPLB 1)
177;PRODUK KREATIF DAN KEWIRAUSAHAAN (XII MPLB 1);PRODUK KREATIF DAN KEWIRAUSAHAAN (XII MPLB 1)
178;PENDIDIKAN AGAMA ISLAM  (XII MPLB 2);PENDIDIKAN AGAMA ISLAM  (XII MPLB 2)
178;PENDIDIKAN AGAMA KRISTEN (XII MPLB 2);PENDIDIKAN AGAMA KRISTEN (XII MPLB 2)
178;PKN (XII MPLB 2);PKN (XII MPLB 2)
178;BAHASA INDONESIA (XII MPLB 2);BAHASA INDONESIA (XII MPLB 2)
178;MATEMATIKA (XII MPLB 2);MATEMATIKA (XII MPLB 2)
178;BAHASA INGGRIS (XII MPLB 2);BAHASA INGGRIS (XII MPLB 2)
178;OTK  KEPEGAWAIAN (XII MPLB 2);OTK  KEPEGAWAIAN (XII MPLB 2)
178;OTK KEUANGAN (XII MPLB 2);OTK KEUANGAN (XII MPLB 2)
178;OTK  SARANA DAN PRASARANA (XII MPLB 2);OTK  SARANA DAN PRASARANA (XII MPLB 2)
