category;shortname;fullname
140;PENDIDIKAN AGAMA ISLAM (X AKL 1);PENDIDIKAN AGAMA ISLAM (X AKL 1)
140;PENDIDIKAN AGAMA KRISTEN (X AKL 1);PENDIDIKAN AGAMA KRISTEN (X AKL 1)
140;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X AKL 1);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X AKL 1)
140;BAHASA INDONESIA (X AKL 1);BAHASA INDONESIA (X AKL 1)
140;SEJARAH INDONESIA (X AKL 1);SEJARAH INDONESIA (X AKL 1)
140;BAHASA MANDARIN (X AKL 1);BAHASA MANDARIN (X AKL 1)
140;MATEMATIKA (X AKL 1);MATEMATIKA (X AKL 1)
140;BAHASA INGGRIS (X AKL 1);BAHASA INGGRIS (X AKL 1)
140;INFORMATIKA (X AKL 1);INFORMATIKA (X AKL 1)
140;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X AKL 1);PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X AKL 1)
140;DASAR DASAR AKL (X AKL 1);DASAR DASAR AKL (X AKL 1)
141;PENDIDIKAN AGAMA ISLAM (X AKL 2);PENDIDIKAN AGAMA ISLAM (X AKL 2)
141;PENDIDIKAN AGAMA KRISTEN (X AKL 2);PENDIDIKAN AGAMA KRISTEN (X AKL 2)
141;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X AKL 2);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X AKL 2)
141;BAHASA INDONESIA (X AKL 2);BAHASA INDONESIA (X AKL 2)
141;SEJARAH INDONESIA (X AKL 2);SEJARAH INDONESIA (X AKL 2)
141;BAHASA MANDARIN (X AKL 2);BAHASA MANDARIN (X AKL 2)
141;MATEMATIKA (X AKL 2);MATEMATIKA (X AKL 2)
141;BAHASA INGGRIS (X AKL 2);BAHASA INGGRIS (X AKL 2)
141;INFORMATIKA (X AKL 2);INFORMATIKA (X AKL 2)
141;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X AKL 2);PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X AKL 2)
141;DASAR DASAR AKL (X AKL 2);DASAR DASAR AKL (X AKL 2)
142;PENDIDIKAN AGAMA ISLAM (XI AKL 1);PENDIDIKAN AGAMA ISLAM (XI AKL 1)
142;PENDIDIKAN AGAMA KRISTEN (XI AKL 1);PENDIDIKAN AGAMA KRISTEN (XI AKL 1)
142;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI AKL 1);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI AKL 1)
142;BAHASA INDONESIA (XI AKL 1);BAHASA INDONESIA (XI AKL 1)
142;MATEMATIKA (XI AKL 1);MATEMATIKA (XI AKL 1)
