category;shortname;fullname
119;PENDIDIKAN AGAMA ISLAM (XI AKL 1);PENDIDIKAN AGAMA ISLAM (XI AKL 1)
119;PENDIDIKAN AGAMA KRISTEN (XI AKL 1);PENDIDIKAN AGAMA KRISTEN (XI AKL 1)
119;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI AKL 1);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI AKL 1)
119;BAHASA INDONESIA (XI AKL 1);BAHASA INDONESIA (XI AKL 1)
119;MATEMATIKA (XI AKL 1);MATEMATIKA (XI AKL 1)
119;BAHASA INGGRIS  (XI AKL 1);BAHASA INGGRIS  (XI AKL 1)
119;BAHASA MANDARIN (XI AKL 1);BAHASA MANDARIN (XI AKL 1)
119;PJOK (XI AKL 1);PJOK (XI AKL 1)
119;PRAKTIKUM AK PERUSAHAAN JASA, DAGANG, DAN MANUFAKTUR (XI AKL 1);PRAKTIKUM AK PERUSAHAAN JASA, DAGANG, DAN MANUFAKTUR (XI AKL 1)
119;PRAKTIKUM AK LEMBAGA/INSTANSI PMRNTAH (XI AKL 1);PRAKTIKUM AK LEMBAGA/INSTANSI PMRNTAH (XI AKL 1)
119;AK KEUANGAN (XI AKL 1);AK KEUANGAN (XI AKL 1)
119;KOMPUTER AK (XI AKL 1);KOMPUTER AK (XI AKL 1)
119;ADMINISTRASI PAJAK (XI AKL 1);ADMINISTRASI PAJAK (XI AKL 1)
119;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI AKL 1);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI AKL 1)
120;PENDIDIKAN AGAMA ISLAM (XI AKL 2);PENDIDIKAN AGAMA ISLAM (XI AKL 2)
120;PENDIDIKAN AGAMA KRISTEN (XI AKL 2);PENDIDIKAN AGAMA KRISTEN (XI AKL 2)
120;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI AKL 2);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI AKL 2)
120;BAHASA INDONESIA (XI AKL 2);BAHASA INDONESIA (XI AKL 2)
120;MATEMATIKA (XI AKL 2);MATEMATIKA (XI AKL 2)
120;BAHASA INGGRIS  (XI AKL 2);BAHASA INGGRIS  (XI AKL 2)
120;BAHASA MANDARIN (XI AKL 2);BAHASA MANDARIN (XI AKL 2)
120;PJOK (XI AKL 2);PJOK (XI AKL 2)
120;PRAKTIKUM AK PERUSAHAAN JASA, DAGANG, DAN MANUFAKTUR (XI AKL 2);PRAKTIKUM AK PERUSAHAAN JASA, DAGANG, DAN MANUFAKTUR (XI AKL 2)
120;PRAKTIKUM AK LEMBAGA/INSTANSI PMRNTAH (XI AKL 2);PRAKTIKUM AK LEMBAGA/INSTANSI PMRNTAH (XI AKL 2)
120;AK KEUANGAN (XI AKL 2);AK KEUANGAN (XI AKL 2)
120;KOMPUTER AK (XI AKL 2);KOMPUTER AK (XI AKL 2)
120;ADMINISTRASI PAJAK (XI AKL 2);ADMINISTRASI PAJAK (XI AKL 2)
120;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI AKL 2);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI AKL 2)
122;PENDIDIKAN AGAMA ISLAM (XI PM);PENDIDIKAN AGAMA ISLAM (XI PM)
122;PENDIDIKAN AGAMA KRISTEN (XI PM);PENDIDIKAN AGAMA KRISTEN (XI PM)
122;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI PM);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI PM)
122;BAHASA INDONESIA (XI PM);BAHASA INDONESIA (XI PM)
122;MATEMATIKA (XI PM);MATEMATIKA (XI PM)
122;BAHASA INGGRIS  (XI PM);BAHASA INGGRIS  (XI PM)
122;BAHASA MANDARIN (XI PM);BAHASA MANDARIN (XI PM)
122;PJOK (XI PM);PJOK (XI PM)
122;PENATAAN PRODUK (XI PM);PENATAAN PRODUK (XI PM)
122;BISNIS ONLINE (XI PM);BISNIS ONLINE (XI PM)
122;PENGELOLAAN BISNIS RITEL (XI PM);PENGELOLAAN BISNIS RITEL (XI PM)
122;ADMINISTRASI TRANSAKSI (XI PM);ADMINISTRASI TRANSAKSI (XI PM)
122;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI PM);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI PM)
