category;shortname;fullname
163;AGAMA ISLAM (X AKL 1);AGAMA ISLAM (X AKL 1)
163;AGAMA KRISTEN (X AKL 1);AGAMA KRISTEN (X AKL 1)
163;SEJARAH (X AKL 1);SEJARAH (X AKL 1)
163;BAHASA MANDARIN (X AKL 1);BAHASA MANDARIN (X AKL 1)
163;PJOK (X AKL 1);PJOK (X AKL 1)
163;PENDIDIKAN PANCASILA (X AKL 1);PENDIDIKAN PANCASILA (X AKL 1)
163;SENI BUDAYA (X AKL 1);SENI BUDAYA (X AKL 1)
163;E.4,5,8 (X AKL 1);E.4,5,8 (X AKL 1)
163;E. 1,2,3,6,7 (X AKL 1);E. 1,2,3,6,7 (X AKL 1)
163;INFORMATIKA (X AKL 1);INFORMATIKA (X AKL 1)
163;E.9 (X AKL 1);E.9 (X AKL 1)
163;PROJEK IPAS (X AKL 1);PROJEK IPAS (X AKL 1)
164;AGAMA ISLAM (X AKL 2);AGAMA ISLAM (X AKL 2)
164;AGAMA KRISTEN (X AKL 2);AGAMA KRISTEN (X AKL 2)
164;SEJARAH (X AKL 2);SEJARAH (X AKL 2)
164;BAHASA MANDARIN (X AKL 2);BAHASA MANDARIN (X AKL 2)
164;PJOK (X AKL 2);PJOK (X AKL 2)
164;PENDIDIKAN PANCASILA (X AKL 2);PENDIDIKAN PANCASILA (X AKL 2)
164;SENI BUDAYA (X AKL 2);SENI BUDAYA (X AKL 2)
164;E.4,5,8 (X AKL 2);E.4,5,8 (X AKL 2)
164;E. 1,2,3,6,7 (X AKL 2);E. 1,2,3,6,7 (X AKL 2)
164;INFORMATIKA (X AKL 2);INFORMATIKA (X AKL 2)
164;E.9 (X AKL 2);E.9 (X AKL 2)
164;PROJEK IPAS (X AKL 2);PROJEK IPAS (X AKL 2)
165;AGAMA ISLAM (XI AKL 1);AGAMA ISLAM (XI AKL 1)
165;AGAMA KRISTEN (XI AKL 1);AGAMA KRISTEN (XI AKL 1)
165;PKK (XI AKL 1);PKK (XI AKL 1)
165;BAHASA MANDARIN  (XI AKL 1);BAHASA MANDARIN  (XI AKL 1)
165;PJOK (XI AKL 1);PJOK (XI AKL 1)
165;PENDIDIKAN PANCASILA (XI AKL 1);PENDIDIKAN PANCASILA (XI AKL 1)
165;KORESPONDENSI (XI AKL 1);KORESPONDENSI (XI AKL 1)
165;F.1,3 (XI AKL 1);F.1,3 (XI AKL 1)
165;F.5 (XI AKL 1);F.5 (XI AKL 1)
165;F.4 (XI AKL 1);F.4 (XI AKL 1)
165;SEJARAH (XI AKL 1);SEJARAH (XI AKL 1)
165;F.2 (XI AKL 1);F.2 (XI AKL 1)
165;F.6 (XI AKL 1);F.6 (XI AKL 1)
166;AGAMA ISLAM (XI AKL 2);AGAMA ISLAM (XI AKL 2)
166;AGAMA KRISTEN (XI AKL 2);AGAMA KRISTEN (XI AKL 2)
166;PKK (XI AKL 2);PKK (XI AKL 2)
166;BAHASA MANDARIN  (XI AKL 2);BAHASA MANDARIN  (XI AKL 2)
166;PJOK (XI AKL 2);PJOK (XI AKL 2)
166;PENDIDIKAN PANCASILA (XI AKL 2);PENDIDIKAN PANCASILA (XI AKL 2)
166;KORESPONDENSI (XI AKL 2);KORESPONDENSI (XI AKL 2)
166;F.1,3 (XI AKL 2);F.1,3 (XI AKL 2)
166;F.5 (XI AKL 2);F.5 (XI AKL 2)
166;F.4 (XI AKL 2);F.4 (XI AKL 2)
166;SEJARAH (XI AKL 2);SEJARAH (XI AKL 2)
166;F.2 (XI AKL 2);F.2 (XI AKL 2)
166;F.6 (XI AKL 2);F.6 (XI AKL 2)
