category;shortname;fullname
173;AGAMA ISLAM (X DKV);AGAMA ISLAM (X DKV)
173;AGAMA KRISTEN (X DKV);AGAMA KRISTEN (X DKV)
173;BAHASA MANDARIN (X DKV);BAHASA MANDARIN (X DKV)
173;SEJARAH (X DKV);SEJARAH (X DKV)
173;PJOK (X DKV);PJOK (X DKV)
173;PENDIDIKAN PANCASILA (X DKV);PENDIDIKAN PANCASILA (X DKV)
173;SENI BUDAYA (X DKV);SENI BUDAYA (X DKV)
173;E.1,2,3,4 (X DKV);E.1,2,3,4 (X DKV)
173;E. 7 (X DKV);E. 7 (X DKV)
173;INFORMATIKA (X DKV);INFORMATIKA (X DKV)
173;E.6,8 (X DKV);E.6,8 (X DKV)
173;PROJEK IPAS (X DKV);PROJEK IPAS (X DKV)
173;E.5 (X DKV);E.5 (X DKV)
173;E. 9 (X DKV);E. 9 (X DKV)
174;AGAMA ISLAM (X DKV);AGAMA ISLAM (X DKV)
174;AGAMA KRISTEN (X DKV);AGAMA KRISTEN (X DKV)
174;PKK (X DKV);PKK (X DKV)
174;MANDARIN (X DKV);MANDARIN (X DKV)
174;PJOK (X DKV);PJOK (X DKV)
174;PEND. PANCASILA (X DKV);PEND. PANCASILA (X DKV)
174;BISNIS ONLINE (X DKV);BISNIS ONLINE (X DKV)
174;F.1,2 (X DKV);F.1,2 (X DKV)
174;F.4 (X DKV);F.4 (X DKV)
174;F.3,5 (X DKV);F.3,5 (X DKV)
174;SEJARAH (X DKV);SEJARAH (X DKV)
