category;shortname;fullname
167;AGAMA ISLAM (X MPLB 1);AGAMA ISLAM (X MPLB 1)
167;AGAMA KRISTEN (X MPLB 1);AGAMA KRISTEN (X MPLB 1)
167;SEJARAH (X MPLB 1);SEJARAH (X MPLB 1)
167;BAHASA MANDARIN (X MPLB 1);BAHASA MANDARIN (X MPLB 1)
167;PJOK (X MPLB 1);PJOK (X MPLB 1)
167;PENDIDIKAN PANCASILA (X MPLB 1);PENDIDIKAN PANCASILA (X MPLB 1)
167;SENI BUDAYA (X MPLB 1);SENI BUDAYA (X MPLB 1)
167;E.1 (X MPLB 1);E.1 (X MPLB 1)
167;E.2 (X MPLB 1);E.2 (X MPLB 1)
167;INFORMATIKA (X MPLB 1);INFORMATIKA (X MPLB 1)
167;E.3 (X MPLB 1);E.3 (X MPLB 1)
167;PROJEK IPAS (X MPLB 1);PROJEK IPAS (X MPLB 1)
167;E.5,6,7 (X MPLB 1);E.5,6,7 (X MPLB 1)
167;E.4,8 (X MPLB 1);E.4,8 (X MPLB 1)
168;AGAMA ISLAM (X MPLB 2);AGAMA ISLAM (X MPLB 2)
168;AGAMA KRISTEN (X MPLB 2);AGAMA KRISTEN (X MPLB 2)
168;SEJARAH (X MPLB 2);SEJARAH (X MPLB 2)
168;BAHASA MANDARIN (X MPLB 2);BAHASA MANDARIN (X MPLB 2)
168;PJOK (X MPLB 2);PJOK (X MPLB 2)
168;PENDIDIKAN PANCASILA (X MPLB 2);PENDIDIKAN PANCASILA (X MPLB 2)
168;SENI BUDAYA (X MPLB 2);SENI BUDAYA (X MPLB 2)
168;E.1 (X MPLB 2);E.1 (X MPLB 2)
168;E.2 (X MPLB 2);E.2 (X MPLB 2)
168;INFORMATIKA (X MPLB 2);INFORMATIKA (X MPLB 2)
168;E.3 (X MPLB 2);E.3 (X MPLB 2)
168;PROJEK IPAS (X MPLB 2);PROJEK IPAS (X MPLB 2)
168;E.5,6,7 (X MPLB 2);E.5,6,7 (X MPLB 2)
168;E.4,8 (X MPLB 2);E.4,8 (X MPLB 2)
169;AGAMA ISLAM (XI MPLB 1);AGAMA ISLAM (XI MPLB 1)
169;AGAMA KRISTEN (XI MPLB 1);AGAMA KRISTEN (XI MPLB 1)
169;PKK (XI MPLB 1);PKK (XI MPLB 1)
169;BAHASA MANDARIN (XI MPLB 1);BAHASA MANDARIN (XI MPLB 1)
169;PJOK (XI MPLB 1);PJOK (XI MPLB 1)
169;PENDIDIKAN PANCASILA (XI MPLB 1);PENDIDIKAN PANCASILA (XI MPLB 1)
169;SIMULASI DIGITAL (XI MPLB 1);SIMULASI DIGITAL (XI MPLB 1)
169;F.1,3,8,10 (XI MPLB 1);F.1,3,8,10 (XI MPLB 1)
169;F.2,4 (XI MPLB 1);F.2,4 (XI MPLB 1)
169;PELAYANAN PRIMA (XI MPLB 1);PELAYANAN PRIMA (XI MPLB 1)
169;SEJARAH (XI MPLB 1);SEJARAH (XI MPLB 1)
169;F.5 (XI MPLB 1);F.5 (XI MPLB 1)
169;F.9 (XI MPLB 1);F.9 (XI MPLB 1)
170;AGAMA ISLAM (XI MPLB 2);AGAMA ISLAM (XI MPLB 2)
170;AGAMA KRISTEN (XI MPLB 2);AGAMA KRISTEN (XI MPLB 2)
170;PKK (XI MPLB 2);PKK (XI MPLB 2)
170;BAHASA MANDARIN (XI MPLB 2);BAHASA MANDARIN (XI MPLB 2)
170;PJOK (XI MPLB 2);PJOK (XI MPLB 2)
170;PENDIDIKAN PANCASILA (XI MPLB 2);PENDIDIKAN PANCASILA (XI MPLB 2)
170;SIMULASI DIGITAL (XI MPLB 2);SIMULASI DIGITAL (XI MPLB 2)
170;F.1,3,8,10 (XI MPLB 2);F.1,3,8,10 (XI MPLB 2)
170;F.2,4 (XI MPLB 2);F.2,4 (XI MPLB 2)
170;PELAYANAN PRIMA (XI MPLB 2);PELAYANAN PRIMA (XI MPLB 2)
170;SEJARAH (XI MPLB 2);SEJARAH (XI MPLB 2)
170;F.5 (XI MPLB 2);F.5 (XI MPLB 2)
170;F.9 (XI MPLB 2);F.9 (XI MPLB 2)
