category;shortname;fullname
171;AGAMA ISLAM (X PM);AGAMA ISLAM (X PM)
171;AGAMA KRISTEN (X PM);AGAMA KRISTEN (X PM)
171;SEJARAH (X PM);SEJARAH (X PM)
171;BAHASA MANDARIN (X PM);BAHASA MANDARIN (X PM)
171;PJOK (X PM);PJOK (X PM)
171;PENDIDIKAN PANCASILA (X PM);PENDIDIKAN PANCASILA (X PM)
171;SENI BUDAYA (X PM);SENI BUDAYA (X PM)
171;E.1,2 (X PM);E.1,2 (X PM)
171;E.3,4 (X PM);E.3,4 (X PM)
171;INFORMATIKA (X PM);INFORMATIKA (X PM)
171;E.5,7,8,9 (X PM);E.5,7,8,9 (X PM)
171;PROJEK IPAS (X PM);PROJEK IPAS (X PM)
171;E.6 (X PM);E.6 (X PM)
172;AGAMA ISLAM (XI PM);AGAMA ISLAM (XI PM)
172;AGAMA KRISTEN (XI PM);AGAMA KRISTEN (XI PM)
172;PKK (XI PM);PKK (XI PM)
172;BAHASA MANDARIN (XI PM);BAHASA MANDARIN (XI PM)
172;PJOK (XI PM);PJOK (XI PM)
172;PENDIDIKAN PANCASILA (XI PM);PENDIDIKAN PANCASILA (XI PM)
172;BISNIS ONLINE (XI PM);BISNIS ONLINE (XI PM)
172;F.1 (XI PM);F.1 (XI PM)
172;DASAR AKUNTANSI (XI PM);DASAR AKUNTANSI (XI PM)
172;F.2 (XI PM);F.2 (XI PM)
172;SEJARAH (XI PM);SEJARAH (XI PM)
172;F.3 (XI PM);F.3 (XI PM)
172;F.4 (XI PM);F.4 (XI PM)
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
