category;shortname;fullname
157;AGAMA ISLAM (X TJKT 1);AGAMA ISLAM (X TJKT 1)
157;AGAMA KRISTEN (X TJKT 1);AGAMA KRISTEN (X TJKT 1)
157;SEJARAH (X TJKT 1);SEJARAH (X TJKT 1)
157;MANDARIN (X TJKT 1);MANDARIN (X TJKT 1)
157;PJOK (X TJKT 1);PJOK (X TJKT 1)
157;PEND. PANCASILA (X TJKT 1);PEND. PANCASILA (X TJKT 1)
157;SENI BUDAYA (X TJKT 1);SENI BUDAYA (X TJKT 1)
157;E.1,3 (X TJKT 1);E.1,3 (X TJKT 1)
157;E.2 (X TJKT 1);E.2 (X TJKT 1)
157;INFORMATIKA (X TJKT 1);INFORMATIKA (X TJKT 1)
157;E. 6,7 (X TJKT 1);E. 6,7 (X TJKT 1)
157;PROJEK IPAS (X TJKT 1);PROJEK IPAS (X TJKT 1)
157;E.4,5 (X TJKT 1);E.4,5 (X TJKT 1)
158;AGAMA ISLAM (X TJKT 2);AGAMA ISLAM (X TJKT 2)
158;AGAMA KRISTEN (X TJKT 2);AGAMA KRISTEN (X TJKT 2)
158;SEJARAH (X TJKT 2);SEJARAH (X TJKT 2)
158;MANDARIN (X TJKT 2);MANDARIN (X TJKT 2)
158;PJOK (X TJKT 2);PJOK (X TJKT 2)
158;PEND. PANCASILA (X TJKT 2);PEND. PANCASILA (X TJKT 2)
158;SENI BUDAYA (X TJKT 2);SENI BUDAYA (X TJKT 2)
158;E.1,3 (X TJKT 2);E.1,3 (X TJKT 2)
158;E.2 (X TJKT 2);E.2 (X TJKT 2)
158;INFORMATIKA (X TJKT 2);INFORMATIKA (X TJKT 2)
158;E. 6,7 (X TJKT 2);E. 6,7 (X TJKT 2)
158;PROJEK IPAS (X TJKT 2);PROJEK IPAS (X TJKT 2)
158;E.4,5 (X TJKT 2);E.4,5 (X TJKT 2)
159;AGAMA ISLAM (X TJKT 3);AGAMA ISLAM (X TJKT 3)
159;AGAMA KRISTEN (X TJKT 3);AGAMA KRISTEN (X TJKT 3)
159;SEJARAH (X TJKT 3);SEJARAH (X TJKT 3)
159;MANDARIN (X TJKT 3);MANDARIN (X TJKT 3)
159;PJOK (X TJKT 3);PJOK (X TJKT 3)
159;PEND. PANCASILA (X TJKT 3);PEND. PANCASILA (X TJKT 3)
159;SENI BUDAYA (X TJKT 3);SENI BUDAYA (X TJKT 3)
159;E.1,3 (X TJKT 3);E.1,3 (X TJKT 3)
159;E.2 (X TJKT 3);E.2 (X TJKT 3)
159;INFORMATIKA (X TJKT 3);INFORMATIKA (X TJKT 3)
159;E. 6,7 (X TJKT 3);E. 6,7 (X TJKT 3)
159;PROJEK IPAS (X TJKT 3);PROJEK IPAS (X TJKT 3)
159;E.4,5 (X TJKT 3);E.4,5 (X TJKT 3)
160;AGAMA ISLAM (XI TJKT 1);AGAMA ISLAM (XI TJKT 1)
160;AGAMA KRISTEN (XI TJKT 1);AGAMA KRISTEN (XI TJKT 1)
160;PKK (XI TJKT 1);PKK (XI TJKT 1)
160;MANDARIN (XI TJKT 1);MANDARIN (XI TJKT 1)
160;PJOK (XI TJKT 1);PJOK (XI TJKT 1)
160;PEND. PANCASILA (XI TJKT 1);PEND. PANCASILA (XI TJKT 1)
160;BISNIS ONLINE (XI TJKT 1);BISNIS ONLINE (XI TJKT 1)
160;F.1,3 (XI TJKT 1);F.1,3 (XI TJKT 1)
160;F.5 (XI TJKT 1);F.5 (XI TJKT 1)
160;F.2 (XI TJKT 1);F.2 (XI TJKT 1)
160;SEJARAH (XI TJKT 1);SEJARAH (XI TJKT 1)
160;F. 4 (XI TJKT 1);F. 4 (XI TJKT 1)
161;AGAMA ISLAM (XI TJKT 2);AGAMA ISLAM (XI TJKT 2)
161;AGAMA KRISTEN (XI TJKT 2);AGAMA KRISTEN (XI TJKT 2)
161;PKK (XI TJKT 2);PKK (XI TJKT 2)
161;MANDARIN (XI TJKT 2);MANDARIN (XI TJKT 2)
161;PJOK (XI TJKT 2);PJOK (XI TJKT 2)
161;PEND. PANCASILA (XI TJKT 2);PEND. PANCASILA (XI TJKT 2)
161;BISNIS ONLINE (XI TJKT 2);BISNIS ONLINE (XI TJKT 2)
161;F.1,3 (XI TJKT 2);F.1,3 (XI TJKT 2)
161;F.5 (XI TJKT 2);F.5 (XI TJKT 2)
161;F.2 (XI TJKT 2);F.2 (XI TJKT 2)
161;SEJARAH (XI TJKT 2);SEJARAH (XI TJKT 2)
161;F. 4 (XI TJKT 2);F. 4 (XI TJKT 2)
162;AGAMA ISLAM (XI TJKT 3);AGAMA ISLAM (XI TJKT 3)
162;AGAMA KRISTEN (XI TJKT 3);AGAMA KRISTEN (XI TJKT 3)
162;PKK (XI TJKT 3);PKK (XI TJKT 3)
162;MANDARIN (XI TJKT 3);MANDARIN (XI TJKT 3)
162;PJOK (XI TJKT 3);PJOK (XI TJKT 3)
162;PEND. PANCASILA (XI TJKT 3);PEND. PANCASILA (XI TJKT 3)
162;BISNIS ONLINE (XI TJKT 3);BISNIS ONLINE (XI TJKT 3)
162;F.1,3 (XI TJKT 3);F.1,3 (XI TJKT 3)
162;F.5 (XI TJKT 3);F.5 (XI TJKT 3)
162;F.2 (XI TJKT 3);F.2 (XI TJKT 3)
162;SEJARAH (XI TJKT 3);SEJARAH (XI TJKT 3)
162;F. 4 (XI TJKT 3);F. 4 (XI TJKT 3)
