category;shortname;fullname
280;AGAMA ISLAM (X TJKT 1);AGAMA ISLAM (X TJKT 1)
280;AGAMA KRISTEN (X TJKT 1);AGAMA KRISTEN (X TJKT 1)
280;BAHASA INMDONESIA (X TJKT 1);BAHASA INMDONESIA (X TJKT 1)
280;MATYEMATIKA (X TJKT 1);MATYEMATIKA (X TJKT 1)
280;BAHASA MANDARIN (X TJKT 1);BAHASA MANDARIN (X TJKT 1)
280;BAHASA INGGRIS (X TJKT 1);BAHASA INGGRIS (X TJKT 1)
280;PENDIDIKAN PANCASILA (X TJKT 1);PENDIDIKAN PANCASILA (X TJKT 1)
280;SEJARAH (X TJKT 1);SEJARAH (X TJKT 1)
280;PROJEK IPAS (X TJKT 1);PROJEK IPAS (X TJKT 1)
280;PJOK (X TJKT 1);PJOK (X TJKT 1)
280;SENI BUDAYA (X TJKT 1);SENI BUDAYA (X TJKT 1)
280;E.1,3 (X TJKT 1);E.1,3 (X TJKT 1)
280;E.2 (X TJKT 1);E.2 (X TJKT 1)
280;E.4,5 (X TJKT 1);E.4,5 (X TJKT 1)
280;E.6,7 (X TJKT 1);E.6,7 (X TJKT 1)
280;INFORMATIKA (X TJKT 1);INFORMATIKA (X TJKT 1)
281;AGAMA ISLAM (X TJKT 2);AGAMA ISLAM (X TJKT 2)
281;AGAMA KRISTEN (X TJKT 2);AGAMA KRISTEN (X TJKT 2)
281;BAHASA INMDONESIA (X TJKT 2);BAHASA INMDONESIA (X TJKT 2)
281;MATYEMATIKA (X TJKT 2);MATYEMATIKA (X TJKT 2)
281;BAHASA MANDARIN (X TJKT 2);BAHASA MANDARIN (X TJKT 2)
281;BAHASA INGGRIS (X TJKT 2);BAHASA INGGRIS (X TJKT 2)
281;PENDIDIKAN PANCASILA (X TJKT 2);PENDIDIKAN PANCASILA (X TJKT 2)
281;SEJARAH (X TJKT 2);SEJARAH (X TJKT 2)
281;PROJEK IPAS (X TJKT 2);PROJEK IPAS (X TJKT 2)
281;PJOK (X TJKT 2);PJOK (X TJKT 2)
281;SENI BUDAYA (X TJKT 2);SENI BUDAYA (X TJKT 2)
281;E.1,3 (X TJKT 2);E.1,3 (X TJKT 2)
281;E.2 (X TJKT 2);E.2 (X TJKT 2)
281;E.4,5 (X TJKT 2);E.4,5 (X TJKT 2)
281;E.6,7 (X TJKT 2);E.6,7 (X TJKT 2)
281;INFORMATIKA (X TJKT 2);INFORMATIKA (X TJKT 2)
282;AGAMA ISLAM (X TJKT 3);AGAMA ISLAM (X TJKT 3)
282;AGAMA KRISTEN (X TJKT 3);AGAMA KRISTEN (X TJKT 3)
282;BAHASA INMDONESIA (X TJKT 3);BAHASA INMDONESIA (X TJKT 3)
282;MATYEMATIKA (X TJKT 3);MATYEMATIKA (X TJKT 3)
282;BAHASA MANDARIN (X TJKT 3);BAHASA MANDARIN (X TJKT 3)
