category;shortname;fullname
283;AGAMA ISLAM (XI TJKT 1);AGAMA ISLAM (XI TJKT 1)
283;AGAMA KRISTEN (XI TJKT 1);AGAMA KRISTEN (XI TJKT 1)
283;MATEMATIKA (XI TJKT 1);MATEMATIKA (XI TJKT 1)
283;BAHASA MANDARIN (XI TJKT 1);BAHASA MANDARIN (XI TJKT 1)
283;BAHASA INGGRIS (XI TJKT 1);BAHASA INGGRIS (XI TJKT 1)
283;PKK (XI TJKT 1);PKK (XI TJKT 1)
283;BAHASA INDONESIA (XI TJKT 1);BAHASA INDONESIA (XI TJKT 1)
283;PJOK (XI TJKT 1);PJOK (XI TJKT 1)
283;PENDIDIKAN PANCASILA (XI TJKT 1);PENDIDIKAN PANCASILA (XI TJKT 1)
283;F.1,3 (XI TJKT 1);F.1,3 (XI TJKT 1)
283;F.2 (XI TJKT 1);F.2 (XI TJKT 1)
283;SEJARAH (XI TJKT 1);SEJARAH (XI TJKT 1)
283;F.4 (XI TJKT 1);F.4 (XI TJKT 1)
283;F.5 (XI TJKT 1);F.5 (XI TJKT 1)
283;BISNIS ONLINE (XI TJKT 1);BISNIS ONLINE (XI TJKT 1)
284;AGAMA ISLAM (XI TJKT 2);AGAMA ISLAM (XI TJKT 2)
284;AGAMA KRISTEN (XI TJKT 2);AGAMA KRISTEN (XI TJKT 2)
284;MATEMATIKA (XI TJKT 2);MATEMATIKA (XI TJKT 2)
284;BAHASA MANDARIN (XI TJKT 2);BAHASA MANDARIN (XI TJKT 2)
284;BAHASA INGGRIS (XI TJKT 2);BAHASA INGGRIS (XI TJKT 2)
284;PKK (XI TJKT 2);PKK (XI TJKT 2)
284;BAHASA INDONESIA (XI TJKT 2);BAHASA INDONESIA (XI TJKT 2)
284;PJOK (XI TJKT 2);PJOK (XI TJKT 2)
284;PENDIDIKAN PANCASILA (XI TJKT 2);PENDIDIKAN PANCASILA (XI TJKT 2)
284;F.1,3 (XI TJKT 2);F.1,3 (XI TJKT 2)
284;F.2 (XI TJKT 2);F.2 (XI TJKT 2)
284;SEJARAH (XI TJKT 2);SEJARAH (XI TJKT 2)
284;F.4 (XI TJKT 2);F.4 (XI TJKT 2)
284;F.5 (XI TJKT 2);F.5 (XI TJKT 2)
284;BISNIS ONLINE (XI TJKT 2);BISNIS ONLINE (XI TJKT 2)
285;AGAMA ISLAM (XI TJKT 3);AGAMA ISLAM (XI TJKT 3)
285;AGAMA KRISTEN (XI TJKT 3);AGAMA KRISTEN (XI TJKT 3)
285;MATEMATIKA (XI TJKT 3);MATEMATIKA (XI TJKT 3)
285;BAHASA MANDARIN (XI TJKT 3);BAHASA MANDARIN (XI TJKT 3)
285;BAHASA INGGRIS (XI TJKT 3);BAHASA INGGRIS (XI TJKT 3)
285;PKK (XI TJKT 3);PKK (XI TJKT 3)
285;BAHASA INDONESIA (XI TJKT 3);BAHASA INDONESIA (XI TJKT 3)
285;PJOK (XI TJKT 3);PJOK (XI TJKT 3)
285;PENDIDIKAN PANCASILA (XI TJKT 3);PENDIDIKAN PANCASILA (XI TJKT 3)
285;F.1,3 (XI TJKT 3);F.1,3 (XI TJKT 3)
285;F.2 (XI TJKT 3);F.2 (XI TJKT 3)
285;SEJARAH (XI TJKT 3);SEJARAH (XI TJKT 3)
285;F.4 (XI TJKT 3);F.4 (XI TJKT 3)
285;F.5 (XI TJKT 3);F.5 (XI TJKT 3)
285;BISNIS ONLINE (XI TJKT 3);BISNIS ONLINE (XI TJKT 3)
270;AGAMA ISLAM (XI AKL 1);AGAMA ISLAM (XI AKL 1)
270;AGAMA KRISTEN (XI AKL 1);AGAMA KRISTEN (XI AKL 1)
270;MATEMATIKA (XI AKL 1);MATEMATIKA (XI AKL 1)
270;BAHASA MANDARIN (XI AKL 1);BAHASA MANDARIN (XI AKL 1)
270;BAHASA INGGRIS (XI AKL 1);BAHASA INGGRIS (XI AKL 1)
270;PKK (XI AKL 1);PKK (XI AKL 1)
270;BAHASA INDONESIA (XI AKL 1);BAHASA INDONESIA (XI AKL 1)
270;PJOK (XI AKL 1);PJOK (XI AKL 1)
270;PENDIDIKAN PANCASILA (XI AKL 1);PENDIDIKAN PANCASILA (XI AKL 1)
270;F.1,3 (XI AKL 1);F.1,3 (XI AKL 1)
270;F.2 (XI AKL 1);F.2 (XI AKL 1)
270;F.4 (XI AKL 1);F.4 (XI AKL 1)
270;SEJARAH (XI AKL 1);SEJARAH (XI AKL 1)
270;F.5 (XI AKL 1);F.5 (XI AKL 1)
270;F.6 (XI AKL 1);F.6 (XI AKL 1)
270;KORESPONDENSI (XI AKL 1);KORESPONDENSI (XI AKL 1)
271;AGAMA ISLAM (XI AKL 2);AGAMA ISLAM (XI AKL 2)
271;AGAMA KRISTEN (XI AKL 2);AGAMA KRISTEN (XI AKL 2)
